id,"name","created_at","updated_at"
1,"日本","2018-02-09 09:40:00","2018-02-09 09:40:00"
2,"アメリカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
3,"フランス","2018-02-09 09:40:00","2018-02-09 09:40:00"
4,"韓国","2018-02-09 09:40:00","2018-02-09 09:40:00"
5,"イギリス","2018-02-09 09:40:00","2018-02-09 09:40:00"
6,"インド","2018-02-09 09:40:00","2018-02-09 09:40:00"
7,"イタリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
8,"ドイツ","2018-02-09 09:40:00","2018-02-09 09:40:00"
9,"スウェーデン","2018-02-09 09:40:00","2018-02-09 09:40:00"
10,"スペイン","2018-02-09 09:40:00","2018-02-09 09:40:00"
11,"中国","2018-02-09 09:40:00","2018-02-09 09:40:00"
12,"アイルランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
13,"香港","2018-02-09 09:40:00","2018-02-09 09:40:00"
14,"フィンランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
15,"台湾","2018-02-09 09:40:00","2018-02-09 09:40:00"
16,"カナダ","2018-02-09 09:40:00","2018-02-09 09:40:00"
17,"ロシア","2018-02-09 09:40:00","2018-02-09 09:40:00"
18,"西ドイツ","2018-02-09 09:40:00","2018-02-09 09:40:00"
19,"オーストラリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
20,"ソ連","2018-02-09 09:40:00","2018-02-09 09:40:00"
21,"ベルギー","2018-02-09 09:40:00","2018-02-09 09:40:00"
22,"オランダ","2018-02-09 09:40:00","2018-02-09 09:40:00"
23,"デンマーク","2018-02-09 09:40:00","2018-02-09 09:40:00"
24,"スイス","2018-02-09 09:40:00","2018-02-09 09:40:00"
25,"ポーランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
26,"メキシコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
27,"タイ","2018-02-09 09:40:00","2018-02-09 09:40:00"
28,"ブラジル","2018-02-09 09:40:00","2018-02-09 09:40:00"
29,"オーストリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
30,"アルゼンチン","2018-02-09 09:40:00","2018-02-09 09:40:00"
31,"チェコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
32,"ノルウェー","2018-02-09 09:40:00","2018-02-09 09:40:00"
33,"イスラエル","2018-02-09 09:40:00","2018-02-09 09:40:00"
34,"イラン","2018-02-09 09:40:00","2018-02-09 09:40:00"
35,"ハンガリー","2018-02-09 09:40:00","2018-02-09 09:40:00"
36,"ポルトガル","2018-02-09 09:40:00","2018-02-09 09:40:00"
37,"トルコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
38,"フィリピン","2018-02-09 09:40:00","2018-02-09 09:40:00"
39,"チェコスロバキア","2018-02-09 09:40:00","2018-02-09 09:40:00"
40,"南アフリカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
