id,"name","created_at","updated_at"
1,"アニメ","2018-02-09 00:52:05","2018-02-09 00:52:05"
2,"ドラマ","2018-02-09 00:52:05","2018-02-09 00:52:05"
3,"恋愛","2018-02-09 00:52:05","2018-02-09 00:52:05"
4,"ホラー","2018-02-09 00:52:05","2018-02-09 00:52:05"
5,"戦争","2018-02-09 00:52:05","2018-02-09 00:52:05"
6,"音楽","2018-02-09 00:52:05","2018-02-09 00:52:05"
7,"ミュージカル","2018-02-09 00:52:05","2018-02-09 00:52:05"
8,"スポーツ","2018-02-09 00:52:05","2018-02-09 00:52:05"
9,"SF","2018-02-09 00:52:05","2018-02-09 00:52:05"
10,"青春","2018-02-09 00:52:05","2018-02-09 00:52:05"
11,"コメディ","2018-02-09 00:52:05","2018-02-09 00:52:05"
12,"アクション","2018-02-09 00:52:05","2018-02-09 00:52:05"
13,"アドベンチャー・冒険","2018-02-09 00:52:05","2018-02-09 00:52:05"
14,"クライム","2018-02-09 00:52:05","2018-02-09 00:52:05"
15,"ヤクザ・任侠","2018-02-09 00:52:05","2018-02-09 00:52:05"
16,"サスペンス","2018-02-09 00:52:05","2018-02-09 00:52:05"
17,"ファミリー","2018-02-09 00:52:05","2018-02-09 00:52:05"
18,"ドキュメンタリー","2018-02-09 00:52:05","2018-02-09 00:52:05"
19,"時代劇","2018-02-09 00:52:05","2018-02-09 00:52:05"
20,"ファンタジー","2018-02-09 00:52:05","2018-02-09 00:52:05"
21,"パニック","2018-02-09 00:52:05","2018-02-09 00:52:05"
22,"スリラー","2018-02-09 00:52:05","2018-02-09 00:52:05"
23,"ミステリー","2018-02-09 00:52:05","2018-02-09 00:52:05"
24,"歴史","2018-02-09 00:52:05","2018-02-09 00:52:05"
25,"ショートフィルム・短編","2018-02-09 00:52:05","2018-02-09 00:52:05"
26,"西部劇","2018-02-09 00:52:05","2018-02-09 00:52:05"
27,"ギャング・マフィア","2018-02-09 00:52:05","2018-02-09 00:52:05"
