id,"title","subtitle","image",time,"story","production","release","created_at","updated_at"
163,"グレイテスト・ショーマン","The Greatest Showman","https://d2ueuvlup6lbue.cloudfront.net/attachments/04c3306d2174dbceeaa7b227eb63d0669c8fc16b/store/fitpad/260/364/af19785ded26ad8b7b06479cb55c1a8a6ee2fb851d31fbe46ca425c7c630/%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC.jpg",105,"主人公のP.T.バーナムは＜ショービジネス＞の概念を生み出した男。誰もが“オンリーワンになれる場所”をエンターテインメントの世界に作り出し、人々の人生を勇気と希望で照らした実在の人物だ。そんなバーナムを支えたのは、どんな時も彼の味方であり続けた幼なじみの妻チャリティ。彼女の愛を心の糧に、仲間たちの友情を原動力に、バ ーナムはショーの成功に向かって、ひたむきに歩む。","2017年","2018-02-16","2018-02-21 09:00:09","2018-02-21 09:00:09"
164,"15時17分、パリ行き","THE 15:17 TO PARIS","https://d2ueuvlup6lbue.cloudfront.net/attachments/7bd1cf52b68d6b2c830379b98f55a3a6ab54d0bd/store/fitpad/260/364/2604da850c655b4972de08dbee157dbc07d234b810bb566fd364b0537fa0/77572.jpg",94,"2015年8月21日、アムステルダム発パリ行きの高速列車タリスが発車した。フランス国境内へ入ったのち、突如イスラム過激派の男が自動小銃を発砲。乗務員は乗務員室に逃げ込み、500名以上の乗客全員が恐怖に怯える中、幼馴染の3人の若者が犯人に立ち向かった――。","2018年","2018-03-01","2018-02-21 09:00:18","2018-02-21 09:00:18"
165,"オーシャンズ8","Ocean's Eight","https://d2ueuvlup6lbue.cloudfront.net/attachments/03357eecfe6a959d32c457873707c5bea58cf98e/store/fitpad/260/364/09e5971b6c1e930baa3b7ec4ed1b3078e84e1d62da9476eb9b405d1b6be4/%E7%B8%B2%E5%BC%B1%E3%81%8C%E7%B9%9D%EF%BD%BC%E7%B9%A7%EF%BD%B7%E7%B9%9D%EF%BD%A3%E7%B9%9D%EF%BD%B3%E7%B9%A7%EF%BD%BA%E3%83%BB%E5%80%A5%C2%80%E4%B8%8A%E3%83%A6%E7%B9%A7%EF%BD%A3%E7%B9%A7%EF%BD%B6%E7%B9%9D%EF%BD%BC%E7%B9%9D%E6%98%B4%E3%81%9B%E7%B9%A7%EF%BD%BF%E7%B9%9D%EF%BD%BC.jpg",0,"","2017年","2018-08-10","2018-02-21 09:00:24","2018-02-21 09:00:24"
166,"スリー・ビルボード","Three Billboards Outside Ebbing, Missouri","https://d2ueuvlup6lbue.cloudfront.net/attachments/0d58c2361b1407ed0f7ce220c3652b9ca3ff3a9e/store/fitpad/260/364/f0739e0b9f76534db750147c3017891c012a487e04f662fa317c76a30926/75321.jpg",115,"最愛の娘が殺されて既に数ヶ月が経過したにもかかわらず、犯人が逮捕される気配がないことに憤るミルドレッドは、無能な警察に抗議するために町はずれに3枚の巨大な広告板を設置する。それを不快に思う警察とミルドレッドの間の諍いが、事態を予想外の方向に向かわせる。","2017年","2018-02-01","2018-02-21 09:00:31","2018-02-21 09:00:31"
167,"ここは退屈迎えに来て","","https://d2ueuvlup6lbue.cloudfront.net/attachments/ccf58674f30ac492c06bbef600cf1540aad1ca79/store/fitpad/260/364/e8ad30b1dcee702d8f3998097b72919f6bd3436658cc5c98f1a90a9a7e40/%E3%80%8E%E3%81%93%E3%81%93%E3%81%AF%E9%80%80%E5%B1%88%E8%BF%8E%E3%81%88%E3%81%AB%E6%9D%A5%E3%81%A6%E3%80%8F%E8%A7%A3%E7%A6%81%E7%B4%A0%E6%9D%90.jpg",0,"何者かになりたくて東京で就職したものの、10年経って何となく地元に戻った27歳の「私」（橋本愛）。実家に住みながらフリーライターとしてタウン誌で記事を書いているけれど、親からはフリーター同然の扱いで、何だか冴えない日々。高校時代に仲の良かった友達と久々に会った勢いで「とにかく格好良くって、背が高くって、サッカー部のエースで、不良とも適度に仲がいい」憧れの椎名くん（成田凌）に連絡し、みんなで会いに…何者かになりたくて東京で就職したものの、10年経って何となく地元に戻った27歳の「私」（橋本愛）。実家に住みながらフリーライターとしてタウン誌で記事を書いているけれど、親からはフリーター同然の扱いで、何だか冴えない日々。高校時代に仲の良かった友達と久々に会った勢いで「とにかく格好良くって、背が高くって、サッカー部のエースで、不良とも適度に仲がいい」憧れの椎名くん（成田凌）に連絡し、みんなで会いに行くことに。道中、「私」の中に椎名くんとの高校時代の忘れられない思い出が蘇るー。元彼「椎名」を忘れられない、東京に憧れと怖さを持ちながら地元を出ないまま暮らす「あたし」（門脇麦）。椎名がいなくなった途端に彼氏面してくる、椎名の取り巻きの中でも特に冴えない男と、断る方が面倒くさいから適当に遊んでいるけれど、心は彼といたときの青春の輝かしい記憶に今もとらわれているー。ここではないどこかー東京には「あるはずの」、自らの退屈を埋めてくれる何かを「椎名くん」に追い求めたその先には？！ 「椎名くん」の大人になった姿とは？","2017年",NULL,"2018-02-21 09:00:36","2018-02-21 09:00:36"
168,"シェイプ・オブ・ウォーター"," The Shape of Water","https://d2ueuvlup6lbue.cloudfront.net/attachments/ac2653f7ee5ce539beba663bcf10968e1f4cca13/store/fitpad/260/364/a08bb13521f2165c4d92968833169a0dd10fa8a6edc30d1c370de54fbbe7/73566.jpg",124,"1962年、アメリカとソビエトの冷戦時代、清掃員として政府の極秘研究所に勤めるイライザ（サリー・ホーキンス）は孤独な生活を送っていた。だが、同僚のゼルダ（オクタヴィア・スペンサー）と一緒に極秘の実験を見てしまったことで、彼女の生活は一変する。
人間ではない不思議な生き物との言葉を超えた愛。それを支える優しい隣人らの助けを借りてイライザと“彼”の愛はどこへ向かうのか……。","2017年","2018-03-01","2018-02-21 09:00:42","2018-02-21 09:00:42"
169,"フロリダ・プロジェクト 真夏の魔法","The Florida Project","https://d2ueuvlup6lbue.cloudfront.net/attachments/4db1c0d3a591578e4556452fee28377bf28e73e1/store/fitpad/260/364/3567bada351cb68d3d0c68ff38981d6dc25503dd38a86665ab94394c2847/75190.jpg",112,"","2017年","2018-05-12","2018-02-21 09:00:48","2018-02-21 09:00:48"
170,"ブラック・パンサー","Black Panther","https://d2ueuvlup6lbue.cloudfront.net/attachments/0313319c651bf2b44a1034e57a01cb505d2f98c9/store/fitpad/260/364/2f70e6373cfb937c45216f62b53e3ce701b74a6d8fc86c0c5efd604af453/60411_.jpg",0,"若き国王ティ・チャラ、またの名を漆黒のヒーロー＜ブラックパンサー＞。2つの顔を持つ彼の使命は、祖国である超文明国家ワカンダの“秘密” ──“ヴィブラニウム”を守ること。それは、世界を破壊するパワーを秘めた鉱石だった。突然の父の死によって王位を継いだティ・チャラは、人類の未来をも脅かすこの国の“秘密”を守る使命を負う事に。だが――「私に、使命が果たせるのか…？」","2018年","2018-03-01","2018-02-21 09:00:55","2018-02-21 09:00:55"
171,"キングスマン：ゴールデン・サークル","Kingsman: The Golden Circle","https://d2ueuvlup6lbue.cloudfront.net/attachments/45ef7a95fe63caa5846291168e7d697754fffd59/store/fitpad/260/364/b27f5732a58a7e0a73b07fba81ec81e77ed5e853cb78795b5378826aaf5a/km_jp_poster.jpg",140,"スパイ機関“キングスマン”の拠点が、謎の敵、ゴールデン・サークルの攻撃により壊滅。残されたのは、前作で一流のエージェントに成長した主人公エグジー（タロン・エガートン）と、教官兼メカ担当のマーリン（マーク・ストロング）のみとなってしまう。敵を追い、同盟を結ぶスパイ機関“ステイツマン”の協力を得るためアメリカに向かう二人。しかし、表ではバーボン・ウイスキーの蒸留所と最高級のバーボンを提供する店を経営…スパイ機関“キングスマン”の拠点が、謎の敵、ゴールデン・サークルの攻撃により壊滅。残されたのは、前作で一流のエージェントに成長した主人公エグジー（タロン・エガートン）と、教官兼メカ担当のマーリン（マーク・ストロング）のみとなってしまう。敵を追い、同盟を結ぶスパイ機関“ステイツマン”の協力を得るためアメリカに向かう二人。しかし、表ではバーボン・ウイスキーの蒸留所と最高級のバーボンを提供する店を経営しているステイツマンは、英国文化に強い影響を受けたキングスマンと対照的に、コテコテにアメリカンなチームだった！彼らは文化の違いを乗り越えて、ゴールデン・サークルが企む陰謀を阻止することができるのか！？","2017年","2018-01-05","2018-02-21 09:01:04","2018-02-21 09:01:04"
172,"ナチュラルウーマン","Una Mujer Fantástica／A Fantastic Woman","https://d2ueuvlup6lbue.cloudfront.net/attachments/a9accae09d20be5ae4f61046fb4c53ef8886a90f/store/fitpad/260/364/6d71f4694ff0724b30348a67a8953bbd3bca5cfdf6bc7f85aba417489128/74165.jpg",104,"チリ、サンティアゴ。トランスジェンダーでナイトクラブのシンガー、マリーナは歳の離れたボーイフレンドのオルランドと暮らしていた。マリーナの誕生日を祝った夜、自宅に戻ると突然オルランドの意識が薄れ亡くなったことで、マリーナは思いもかけないトラブルに巻き込まれていく。それでもマリーナは女性として生きていく権利を胸に、自分らしさを守るための闘いに挑むことを決める。","2017年","2018-02-24","2018-02-21 09:01:12","2018-02-21 09:01:12"
