id,movie_id,award_id,"created_at","updated_at"
1,1,25,"2018-02-10 07:27:32","2018-02-10 07:27:32"
2,1,27,"2018-02-10 07:27:32","2018-02-10 07:27:32"
3,1,30,"2018-02-10 07:27:32","2018-02-10 07:27:32"
4,1,35,"2018-02-10 07:27:32","2018-02-10 07:27:32"
5,1,54,"2018-02-10 07:27:32","2018-02-10 07:27:32"
6,1,61,"2018-02-10 07:27:32","2018-02-10 07:27:32"
7,2,38,"2018-02-10 07:27:32","2018-02-10 07:27:32"
8,7,26,"2018-02-10 07:27:32","2018-02-10 07:27:32"
9,7,32,"2018-02-10 07:27:32","2018-02-10 07:27:32"
10,12,36,"2018-02-10 07:27:32","2018-02-10 07:27:32"
11,12,37,"2018-02-10 07:27:32","2018-02-10 07:27:32"
12,12,52,"2018-02-10 07:27:32","2018-02-10 07:27:32"
13,12,70,"2018-02-10 07:27:32","2018-02-10 07:27:32"
14,19,28,"2018-02-10 07:27:32","2018-02-10 07:27:32"
15,19,112,"2018-02-10 07:27:32","2018-02-10 07:27:32"
16,22,3,"2018-02-10 07:27:32","2018-02-10 07:27:32"
17,22,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
18,22,11,"2018-02-10 07:27:32","2018-02-10 07:27:32"
19,22,12,"2018-02-10 07:27:32","2018-02-10 07:27:32"
20,22,16,"2018-02-10 07:27:32","2018-02-10 07:27:32"
21,22,17,"2018-02-10 07:27:32","2018-02-10 07:27:32"
22,22,26,"2018-02-10 07:27:32","2018-02-10 07:27:32"
23,22,27,"2018-02-10 07:27:32","2018-02-10 07:27:32"
24,22,32,"2018-02-10 07:27:32","2018-02-10 07:27:32"
25,22,33,"2018-02-10 07:27:32","2018-02-10 07:27:32"
26,22,36,"2018-02-10 07:27:32","2018-02-10 07:27:32"
27,22,37,"2018-02-10 07:27:32","2018-02-10 07:27:32"
28,22,38,"2018-02-10 07:27:32","2018-02-10 07:27:32"
29,23,45,"2018-02-10 07:27:32","2018-02-10 07:27:32"
30,31,40,"2018-02-10 07:27:32","2018-02-10 07:27:32"
31,31,73,"2018-02-10 07:27:32","2018-02-10 07:27:32"
32,32,6,"2018-02-10 07:27:32","2018-02-10 07:27:32"
33,32,14,"2018-02-10 07:27:32","2018-02-10 07:27:32"
34,32,18,"2018-02-10 07:27:32","2018-02-10 07:27:32"
35,32,35,"2018-02-10 07:27:32","2018-02-10 07:27:32"
36,32,63,"2018-02-10 07:27:32","2018-02-10 07:27:32"
37,32,64,"2018-02-10 07:27:32","2018-02-10 07:27:32"
38,40,39,"2018-02-10 07:27:32","2018-02-10 07:27:32"
39,41,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
40,41,6,"2018-02-10 07:27:32","2018-02-10 07:27:32"
41,41,27,"2018-02-10 07:27:32","2018-02-10 07:27:32"
42,41,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
43,41,3,"2018-02-10 07:27:32","2018-02-10 07:27:32"
44,41,11,"2018-02-10 07:27:32","2018-02-10 07:27:32"
45,41,12,"2018-02-10 07:27:32","2018-02-10 07:27:32"
46,41,14,"2018-02-10 07:27:32","2018-02-10 07:27:32"
47,41,16,"2018-02-10 07:27:32","2018-02-10 07:27:32"
48,41,17,"2018-02-10 07:27:32","2018-02-10 07:27:32"
49,41,18,"2018-02-10 07:27:32","2018-02-10 07:27:32"
50,41,19,"2018-02-10 07:27:32","2018-02-10 07:27:32"
51,41,20,"2018-02-10 07:27:32","2018-02-10 07:27:32"
52,41,21,"2018-02-10 07:27:32","2018-02-10 07:27:32"
53,41,25,"2018-02-10 07:27:32","2018-02-10 07:27:32"
54,41,36,"2018-02-10 07:27:32","2018-02-10 07:27:32"
55,41,37,"2018-02-10 07:27:32","2018-02-10 07:27:32"
56,41,38,"2018-02-10 07:27:32","2018-02-10 07:27:32"
57,41,42,"2018-02-10 07:27:32","2018-02-10 07:27:32"
58,41,69,"2018-02-10 07:27:32","2018-02-10 07:27:32"
59,41,91,"2018-02-10 07:27:32","2018-02-10 07:27:32"
60,41,129,"2018-02-10 07:27:32","2018-02-10 07:27:32"
61,43,39,"2018-02-10 07:27:32","2018-02-10 07:27:32"
62,46,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
63,46,27,"2018-02-10 07:27:32","2018-02-10 07:27:32"
64,46,48,"2018-02-10 07:27:32","2018-02-10 07:27:32"
65,46,66,"2018-02-10 07:27:32","2018-02-10 07:27:32"
66,46,75,"2018-02-10 07:27:32","2018-02-10 07:27:32"
67,46,76,"2018-02-10 07:27:32","2018-02-10 07:27:32"
68,46,91,"2018-02-10 07:27:32","2018-02-10 07:27:32"
69,46,129,"2018-02-10 07:27:32","2018-02-10 07:27:32"
70,46,131,"2018-02-10 07:27:32","2018-02-10 07:27:32"
71,48,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
72,48,3,"2018-02-10 07:27:32","2018-02-10 07:27:32"
73,48,4,"2018-02-10 07:27:32","2018-02-10 07:27:32"
74,48,13,"2018-02-10 07:27:32","2018-02-10 07:27:32"
75,48,18,"2018-02-10 07:27:32","2018-02-10 07:27:32"
76,48,19,"2018-02-10 07:27:32","2018-02-10 07:27:32"
77,48,25,"2018-02-10 07:27:32","2018-02-10 07:27:32"
78,48,32,"2018-02-10 07:27:32","2018-02-10 07:27:32"
79,48,36,"2018-02-10 07:27:32","2018-02-10 07:27:32"
80,49,31,"2018-02-10 07:27:32","2018-02-10 07:27:32"
81,49,35,"2018-02-10 07:27:32","2018-02-10 07:27:32"
82,49,37,"2018-02-10 07:27:32","2018-02-10 07:27:32"
83,50,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
84,50,3,"2018-02-10 07:27:32","2018-02-10 07:27:32"
85,50,4,"2018-02-10 07:27:32","2018-02-10 07:27:32"
86,50,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
87,50,13,"2018-02-10 07:27:32","2018-02-10 07:27:32"
88,50,30,"2018-02-10 07:27:32","2018-02-10 07:27:32"
89,50,60,"2018-02-10 07:27:32","2018-02-10 07:27:32"
90,50,91,"2018-02-10 07:27:32","2018-02-10 07:27:32"
